Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
468,Aaron Wiggins,SG,25,OKC,17,0,200,29,50,0.58,9,20,0.45,20,30,0.667,0.67,12,17,0.706,9,27,36,13,6,1,9,16,79
469,Andrew Wiggins,SF,28,GSW,18,18,490,91,210,0.433,16,60,0.267,75,150,0.5,0.471,32,54,0.593,35,44,79,21,6,7,32,46,230
470,Lindell Wigginton,PG,25,MIL,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1,0
471,Grant Williams,PF,25,DAL,19,19,547,62,147,0.422,43,106,0.406,19,41,0.463,0.568,20,31,0.645,22,49,71,32,5,11,17,50,187
472,Jalen Williams,PF,22,OKC,16,16,524,104,206,0.505,18,50,0.36,86,156,0.551,0.549,56,64,0.875,5,61,66,62,12,5,30,49,282
473,Jaylin Williams,C,21,OKC,14,0,188,22,56,0.393,12,33,0.364,10,23,0.435,0.5,7,8,0.875,9,45,54,22,5,2,6,25,63
474,Jeenathan Williams,SG,24,HOU,4,0,22,6,11,0.545,0,2,0,6,9,0.667,0.545,1,2,0.5,0,0,0,2,1,0,0,2,13
475,Kenrich Williams,PF,29,OKC,9,0,150,20,37,0.541,8,15,0.533,12,22,0.545,0.649,3,8,0.375,8,19,27,16,4,0,3,20,51
476,Mark Williams,C,22,CHO,18,18,488,96,147,0.653,0,0,,96,147,0.653,0.653,46,64,0.719,74,107,181,21,15,18,16,48,238
477,Patrick Williams,PF,22,CHI,21,11,518,62,152,0.408,21,66,0.318,41,86,0.477,0.477,24,32,0.75,22,59,81,26,21,19,24,32,169
478,Robert Williams,C,26,POR,6,0,119,17,26,0.654,0,0,,17,26,0.654,0.654,7,9,0.778,11,27,38,5,7,7,7,17,41
479,Vince Williams Jr.,SG,23,MEM,11,0,151,15,34,0.441,9,27,0.333,6,7,0.857,0.574,12,13,0.923,5,31,36,13,3,7,6,24,51
480,Ziaire Williams,SF,22,MEM,17,8,380,52,133,0.391,23,65,0.354,29,68,0.426,0.477,21,24,0.875,12,65,77,23,9,5,23,34,148
481,Zion Williamson,PF,23,NOP,18,18,562,161,283,0.569,2,6,0.333,159,277,0.574,0.572,85,128,0.664,35,69,104,89,21,5,49,46,409
482,Jalen Wilson,PF,23,BRK,2,0,7,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,0
483,Dylan Windler,SF,27,NYK,3,0,7,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,1,1,1,0,0,0,1,3
484,James Wiseman,C,22,DET,10,0,111,24,37,0.649,0,1,0,24,36,0.667,0.649,6,11,0.545,10,22,32,3,1,3,8,18,54
485,Christian Wood,PF,28,LAL,21,1,425,51,115,0.443,14,52,0.269,37,63,0.587,0.504,31,45,0.689,18,105,123,17,4,12,27,37,147
486,Delon Wright,PG,31,WAS,8,0,141,11,30,0.367,4,11,0.364,7,19,0.368,0.433,14,16,0.875,3,17,20,35,13,1,4,6,40
487,Thaddeus Young,PF,35,TOR,3,0,10,2,4,0.5,0,0,,2,4,0.5,0.5,0,2,0,1,2,3,3,0,0,1,0,4
488,Trae Young,PG,25,ATL,18,18,648,146,357,0.409,55,156,0.353,91,201,0.453,0.486,140,162,0.864,12,40,52,192,29,0,68,27,487
489,Omer Yurtseven,C,25,UTA,14,5,170,28,51,0.549,3,13,0.231,25,38,0.658,0.578,6,8,0.75,21,45,66,12,3,7,10,20,65
490,Cody Zeller,C,31,NOP,18,0,172,10,32,0.313,0,1,0,10,31,0.323,0.313,11,22,0.5,21,34,55,18,4,2,6,21,31
491,Ivica Zubac,C,26,LAC,19,19,490,94,150,0.627,0,0,,94,150,0.627,0.627,36,58,0.621,60,111,171,16,2,28,25,50,224
